Fecha,Empresa,Moneda,Ventas
2020-04-02,Empresa A,USD,208.57
2020-04-03,Empresa A,USD,228.05
2020-04-04,Empresa A,USD,267.98
2020-04-05,Empresa A,USD,213.89
2020-04-06,Empresa A,USD,206.35
2020-04-07,Empresa A,USD,190.35
2020-04-08,Empresa A,USD,150.77
2020-04-09,Empresa A,USD,203.11
2020-04-10,Empresa A,USD,179.34
2020-04-11,Empresa A,USD,185.44
2020-04-12,Empresa A,USD,252.53
2020-04-13,Empresa A,USD,184.22
2020-04-14,Empresa A,USD,152.03
2020-04-15,Empresa A,USD,226.34
2020-04-16,Empresa A,USD,161.31
2020-04-17,Empresa A,USD,149.34
2020-04-18,Empresa A,USD,97.44
2020-04-19,Empresa A,USD,143.76
2020-04-20,Empresa A,USD,168.28
2020-04-21,Empresa A,USD,135.7
2020-04-22,Empresa A,USD,113.84
2020-04-23,Empresa A,USD,156.7
2020-04-24,Empresa A,USD,152.7
2020-04-25,Empresa A,USD,137.84
2020-04-26,Empresa A,USD,116.47
2020-04-27,Empresa A,USD,123.89
2020-04-28,Empresa A,USD,164.61
2020-04-29,Empresa A,USD,170.34
2020-04-30,Empresa A,USD,203.21
2020-05-01,Empresa A,USD,147.6
2020-05-02,Empresa A,USD,132.57
2020-05-03,Empresa A,USD,210.34
2020-05-04,Empresa A,USD,161.1
2020-05-05,Empresa A,USD,177.16
2020-05-06,Empresa A,USD,175.48
2020-05-07,Empresa A,USD,146.05
2020-05-08,Empresa A,USD,128.41
2020-05-09,Empresa A,USD,196.71
2020-05-10,Empresa A,USD,191.65
2020-05-11,Empresa A,USD,210.33
2020-05-12,Empresa A,USD,173.18
2020-05-13,Empresa A,USD,237.71
2020-05-14,Empresa A,USD,204.51
2020-05-15,Empresa A,USD,185.78
2020-05-16,Empresa A,USD,214.73
2020-05-17,Empresa A,USD,158.53
2020-05-18,Empresa A,USD,149.72
2020-05-19,Empresa A,USD,203.93
2020-05-20,Empresa A,USD,191.41
2020-05-21,Empresa A,USD,189.62
2020-05-22,Empresa A,USD,193.67
2020-05-23,Empresa A,USD,259.63
2020-05-24,Empresa A,USD,216.94
2020-05-25,Empresa A,USD,203.12
2020-05-26,Empresa A,USD,170.23
2020-05-27,Empresa A,USD,172.55
2020-05-28,Empresa A,USD,219.04
2020-05-29,Empresa A,USD,222.02
2020-05-30,Empresa A,USD,207.59
2020-05-31,Empresa A,USD,153.24
2020-06-01,Empresa A,USD,213.74
2020-06-02,Empresa A,USD,221.86
2020-06-03,Empresa A,USD,185.61
2020-06-04,Empresa A,USD,279.9
2020-06-05,Empresa A,USD,269.77
2020-06-06,Empresa A,USD,245.84
2020-06-07,Empresa A,USD,259.38
2020-06-08,Empresa A,USD,177.96
2020-06-09,Empresa A,USD,222.17
2020-06-10,Empresa A,USD,214.24
2020-06-11,Empresa A,USD,253.89
2020-06-12,Empresa A,USD,166.41
2020-06-13,Empresa A,USD,252.29
2020-06-14,Empresa A,USD,147.73
2020-06-15,Empresa A,USD,227.76
2020-06-16,Empresa A,USD,243.68
2020-06-17,Empresa A,USD,195.97
2020-06-18,Empresa A,USD,273.48
2020-06-19,Empresa A,USD,220.3
2020-06-20,Empresa A,USD,280.07
2020-06-21,Empresa A,USD,242.1
2020-06-22,Empresa A,USD,224.91
2020-06-23,Empresa A,USD,236.58
2020-06-24,Empresa A,USD,237.98
2020-06-25,Empresa A,USD,267.44
2020-06-26,Empresa A,USD,170.51
2020-06-27,Empresa A,USD,203.81
2020-06-28,Empresa A,USD,193.81
2020-06-29,Empresa A,USD,233.35
2020-06-30,Empresa A,USD,211.27
2020-07-01,Empresa A,USD,236.33
2020-07-02,Empresa A,USD,197.27
2020-07-03,Empresa A,USD,250.99
2020-07-04,Empresa A,USD,251.51
2020-07-05,Empresa A,USD,209.89
2020-07-06,Empresa A,USD,230.45
2020-07-07,Empresa A,USD,191.68
2020-07-08,Empresa A,USD,231.8
2020-07-09,Empresa A,USD,235.22
2020-07-10,Empresa A,USD,218.71
2020-07-11,Empresa A,USD,264.19
2020-07-12,Empresa A,USD,269.7
2020-07-13,Empresa A,USD,290.31
2020-07-14,Empresa A,USD,359.64
2020-07-15,Empresa A,USD,266.63
2020-07-16,Empresa A,USD,270.61
2020-07-17,Empresa A,USD,303.12
2020-07-18,Empresa A,USD,286.11
2020-07-19,Empresa A,USD,164.92
2020-07-20,Empresa A,USD,234.04
2020-07-21,Empresa A,USD,259.82
2020-07-22,Empresa A,USD,273.43
2020-07-23,Empresa A,USD,240.49
2020-07-24,Empresa A,USD,236.62
2020-07-25,Empresa A,USD,251.59
2020-07-26,Empresa A,USD,230.26
2020-07-27,Empresa A,USD,275.1
2020-07-28,Empresa A,USD,275.41
2020-07-29,Empresa A,USD,268.48
2020-07-30,Empresa A,USD,308.7
2020-07-31,Empresa A,USD,207.97
2020-08-01,Empresa A,USD,323.69
2020-08-02,Empresa A,USD,214.43
2020-08-03,Empresa A,USD,295.7
2020-08-04,Empresa A,USD,222.69
2020-08-05,Empresa A,USD,249.7
2020-08-06,Empresa A,USD,209.21
2020-08-07,Empresa A,USD,220.33
2020-08-08,Empresa A,USD,312.8
2020-08-09,Empresa A,USD,243.22
2020-08-10,Empresa A,USD,245.12
2020-08-11,Empresa A,USD,261.63
2020-08-12,Empresa A,USD,305.77
2020-08-13,Empresa A,USD,260.99
2020-08-14,Empresa A,USD,221.21
2020-08-15,Empresa A,USD,239.32
2020-08-16,Empresa A,USD,232.29
2020-08-17,Empresa A,USD,262.61
2020-08-18,Empresa A,USD,225.7
2020-08-19,Empresa A,USD,276.41
2020-08-20,Empresa A,USD,228.68
2020-08-21,Empresa A,USD,253.23
2020-08-22,Empresa A,USD,181.32
2020-08-23,Empresa A,USD,280.63
2020-08-24,Empresa A,USD,254.25
2020-08-25,Empresa A,USD,275.64
2020-08-26,Empresa A,USD,240.55
2020-08-27,Empresa A,USD,228.03
2020-08-28,Empresa A,USD,238.4
2020-08-29,Empresa A,USD,281.33
2020-08-30,Empresa A,USD,359.83
2020-08-31,Empresa A,USD,209
2020-09-01,Empresa A,USD,295.86
2020-09-02,Empresa A,USD,283.91
2020-09-03,Empresa A,USD,278.36
2020-09-04,Empresa A,USD,271.57
2020-09-05,Empresa A,USD,241.52
2020-09-06,Empresa A,USD,336.1
2020-09-07,Empresa A,USD,262.01
2020-09-08,Empresa A,USD,244.64
2020-09-09,Empresa A,USD,242.19
2020-09-10,Empresa A,USD,234.48
2020-09-11,Empresa A,USD,251.39
2020-09-12,Empresa A,USD,197.08
2020-09-13,Empresa A,USD,266.95
2020-09-14,Empresa A,USD,227.22
2020-09-15,Empresa A,USD,278.39
2020-09-16,Empresa A,USD,219.49
2020-09-17,Empresa A,USD,282.83
2020-09-18,Empresa A,USD,286.94
2020-09-19,Empresa A,USD,209.78
2020-09-20,Empresa A,USD,247.81
2020-09-21,Empresa A,USD,271.4
2020-09-22,Empresa A,USD,211.19
2020-09-23,Empresa A,USD,162.07
2020-09-24,Empresa A,USD,233.52
2020-09-25,Empresa A,USD,235.65
2020-09-26,Empresa A,USD,181.95
2020-09-27,Empresa A,USD,185.25
2020-09-28,Empresa A,USD,229.44
2020-09-29,Empresa A,USD,247.91
2020-09-30,Empresa A,USD,205.63
2020-10-01,Empresa A,USD,166.44
2020-10-02,Empresa A,USD,247.01
2020-10-03,Empresa A,USD,217.97
2020-10-04,Empresa A,USD,216.26
2020-10-05,Empresa A,USD,243.46
2020-10-06,Empresa A,USD,235.65
2020-10-07,Empresa A,USD,228.42
2020-10-08,Empresa A,USD,176.78
2020-10-09,Empresa A,USD,215.13
2020-10-10,Empresa A,USD,182.57
2020-10-11,Empresa A,USD,242.46
2020-10-12,Empresa A,USD,185.75
2020-10-13,Empresa A,USD,190.66
2020-10-14,Empresa A,USD,161.15
2020-10-15,Empresa A,USD,236.14
2020-10-16,Empresa A,USD,193.59
2020-10-17,Empresa A,USD,185.98
2020-10-18,Empresa A,USD,190.74
2020-10-19,Empresa A,USD,154.99
2020-10-20,Empresa A,USD,151.95
2020-10-21,Empresa A,USD,155.35
2020-10-22,Empresa A,USD,115.13
2020-10-23,Empresa A,USD,132.03
2020-10-24,Empresa A,USD,158.08
2020-10-25,Empresa A,USD,151.26
2020-10-26,Empresa A,USD,133.55
2020-10-27,Empresa A,USD,163.19
2020-10-28,Empresa A,USD,146.54
2020-10-29,Empresa A,USD,177.14
2020-10-30,Empresa A,USD,179.32
2020-10-31,Empresa A,USD,100.63
2020-11-01,Empresa A,USD,127.63
2020-11-02,Empresa A,USD,138.02
2020-11-03,Empresa A,USD,149.71
2020-11-04,Empresa A,USD,152.31
2020-11-05,Empresa A,USD,143.92
2020-11-06,Empresa A,USD,149.4
2020-11-07,Empresa A,USD,160.13
2020-11-08,Empresa A,USD,136.04
2020-11-09,Empresa A,USD,124.51
2020-11-10,Empresa A,USD,138.81
2020-11-11,Empresa A,USD,112.64
2020-11-12,Empresa A,USD,179.45
2020-11-13,Empresa A,USD,152.83
2020-11-14,Empresa A,USD,149.12
2020-11-15,Empresa A,USD,165.81
2020-11-16,Empresa A,USD,144.48
2020-11-17,Empresa A,USD,134.52
2020-11-18,Empresa A,USD,105.88
2020-11-19,Empresa A,USD,157.75
2020-11-20,Empresa A,USD,121.73
2020-11-21,Empresa A,USD,133.75
2020-11-22,Empresa A,USD,181.19
2020-11-23,Empresa A,USD,112.54
2020-11-24,Empresa A,USD,129.89
2020-11-25,Empresa A,USD,118.96
2020-11-26,Empresa A,USD,147.32
2020-11-27,Empresa A,USD,140.7
2020-11-28,Empresa A,USD,114.14
2020-11-29,Empresa A,USD,113.35
2020-11-30,Empresa A,USD,134.55
2020-12-01,Empresa A,USD,131.79
2020-12-02,Empresa A,USD,128.46
2020-12-03,Empresa A,USD,141.88
2020-12-04,Empresa A,USD,105.63
2020-12-05,Empresa A,USD,140.23
2020-12-06,Empresa A,USD,135.59
2020-12-07,Empresa A,USD,130.86
2020-12-08,Empresa A,USD,184.94
2020-12-09,Empresa A,USD,129.8
2020-12-10,Empresa A,USD,140.91
2020-12-11,Empresa A,USD,165.69
2020-12-12,Empresa A,USD,147.26
2020-12-13,Empresa A,USD,148.85
2020-12-14,Empresa A,USD,158.26
2020-12-15,Empresa A,USD,198.8
2020-12-16,Empresa A,USD,162.87
2020-12-17,Empresa A,USD,139.09
2020-12-18,Empresa A,USD,205.03
2020-12-19,Empresa A,USD,151.89
2020-12-20,Empresa A,USD,203.57
2020-12-21,Empresa A,USD,160.08
2020-12-22,Empresa A,USD,170.36
2020-12-23,Empresa A,USD,203.93
2020-12-24,Empresa A,USD,252.45
2020-12-25,Empresa A,USD,150.92
2020-12-26,Empresa A,USD,178.42
2020-12-27,Empresa A,USD,205.26
2020-12-28,Empresa A,USD,171.52
2020-12-29,Empresa A,USD,156.28
2020-12-30,Empresa A,USD,130.25
2020-12-31,Empresa A,USD,223.28
2020-01-01,Empresa B,EUR,436.19
2020-01-02,Empresa B,EUR,354.22
2020-01-03,Empresa B,EUR,400.85
2020-01-04,Empresa B,EUR,484.98
2020-01-05,Empresa B,EUR,522.99
2020-01-06,Empresa B,EUR,460.29
2020-01-07,Empresa B,EUR,344.45
2020-01-08,Empresa B,EUR,363.23
2020-01-09,Empresa B,EUR,515.52
2020-01-10,Empresa B,EUR,575.31
2020-01-11,Empresa B,EUR,348.77
2020-01-12,Empresa B,EUR,436.79
2020-01-13,Empresa B,EUR,459.91
2020-01-14,Empresa B,EUR,474.45
2020-01-15,Empresa B,EUR,535.59
2020-01-16,Empresa B,EUR,497.98
2020-01-17,Empresa B,EUR,394.63
2020-01-18,Empresa B,EUR,362.14
2020-01-19,Empresa B,EUR,533.59
2020-01-20,Empresa B,EUR,545.55
2020-01-21,Empresa B,EUR,480.41
2020-01-22,Empresa B,EUR,435.72
2020-01-23,Empresa B,EUR,379.72
2020-01-24,Empresa B,EUR,490.1
2020-01-25,Empresa B,EUR,556.28
2020-01-26,Empresa B,EUR,459.74
2020-01-27,Empresa B,EUR,412.1
2020-01-28,Empresa B,EUR,497.23
2020-01-29,Empresa B,EUR,604.5
2020-01-30,Empresa B,EUR,407.36
2020-01-31,Empresa B,EUR,547.47
2020-02-01,Empresa B,EUR,524.92
2020-02-02,Empresa B,EUR,575.08
2020-02-03,Empresa B,EUR,576.59
2020-02-04,Empresa B,EUR,527.28
2020-02-05,Empresa B,EUR,542.09
2020-02-06,Empresa B,EUR,614.56
2020-02-07,Empresa B,EUR,454.51
2020-02-08,Empresa B,EUR,499.1
2020-02-09,Empresa B,EUR,606.72
2020-02-10,Empresa B,EUR,550.74
2020-02-11,Empresa B,EUR,463.83
2020-02-12,Empresa B,EUR,507.7
2020-02-13,Empresa B,EUR,544.54
2020-02-14,Empresa B,EUR,510.9
2020-02-15,Empresa B,EUR,465.8
2020-02-16,Empresa B,EUR,377.81
2020-02-17,Empresa B,EUR,646.44
2020-02-18,Empresa B,EUR,509.2
2020-02-19,Empresa B,EUR,590.74
2020-02-20,Empresa B,EUR,536.98
2020-02-21,Empresa B,EUR,432.31
2020-02-22,Empresa B,EUR,504.12
2020-02-23,Empresa B,EUR,401.19
2020-02-24,Empresa B,EUR,417.96
2020-02-25,Empresa B,EUR,491.1
2020-02-26,Empresa B,EUR,545.04
2020-02-27,Empresa B,EUR,545.19
2020-02-28,Empresa B,EUR,374.49
2020-02-29,Empresa B,EUR,443.46
2020-03-01,Empresa B,EUR,401.2
2020-03-02,Empresa B,EUR,512
2020-03-03,Empresa B,EUR,526.56
2020-03-04,Empresa B,EUR,478.21
2020-03-05,Empresa B,EUR,579.1
2020-03-06,Empresa B,EUR,431.48
2020-03-07,Empresa B,EUR,565.46
2020-03-08,Empresa B,EUR,562.1
2020-03-09,Empresa B,EUR,480.89
2020-03-10,Empresa B,EUR,338.8
2020-03-11,Empresa B,EUR,584.54
2020-03-12,Empresa B,EUR,453.13
2020-03-13,Empresa B,EUR,318.64
2020-03-14,Empresa B,EUR,477.59
2020-03-15,Empresa B,EUR,379.96
2020-03-16,Empresa B,EUR,493.06
2020-03-17,Empresa B,EUR,421.34
2020-03-18,Empresa B,EUR,383.57
2020-03-19,Empresa B,EUR,393.88
2020-03-20,Empresa B,EUR,417.58
2020-03-21,Empresa B,EUR,403.53
2020-03-22,Empresa B,EUR,517.86
2020-03-23,Empresa B,EUR,413.75
2020-03-24,Empresa B,EUR,524.76
2020-03-25,Empresa B,EUR,451.1
2020-03-26,Empresa B,EUR,532.38
2020-03-27,Empresa B,EUR,626.3
2020-03-28,Empresa B,EUR,448.16
2020-03-29,Empresa B,EUR,687.59
2020-03-30,Empresa B,EUR,622.78
2020-03-31,Empresa B,EUR,501.66
2020-04-01,Empresa B,EUR,708.4
2020-04-02,Empresa B,EUR,505.62
2020-04-03,Empresa B,EUR,567.06
2020-04-04,Empresa B,EUR,448.07
2020-04-05,Empresa B,EUR,471.3
2020-04-06,Empresa B,EUR,588.99
2020-04-07,Empresa B,EUR,732.24
2020-04-08,Empresa B,EUR,455.59
2020-04-09,Empresa B,EUR,522.89
2020-04-10,Empresa B,EUR,665.05
2020-04-11,Empresa B,EUR,566.27
2020-04-12,Empresa B,EUR,669.93
2020-04-13,Empresa B,EUR,615.17
2020-04-14,Empresa B,EUR,587.23
2020-04-15,Empresa B,EUR,617.94
2020-04-16,Empresa B,EUR,644.44
2020-04-17,Empresa B,EUR,661.76
2020-04-18,Empresa B,EUR,559.75
2020-04-19,Empresa B,EUR,536.4
2020-04-20,Empresa B,EUR,537.27
2020-04-21,Empresa B,EUR,713.96
2020-04-22,Empresa B,EUR,747.12
2020-04-23,Empresa B,EUR,560.52
2020-04-24,Empresa B,EUR,550.13
2020-04-25,Empresa B,EUR,779.9
2020-04-26,Empresa B,EUR,553.04
2020-04-27,Empresa B,EUR,600.28
2020-04-28,Empresa B,EUR,569.93
2020-04-29,Empresa B,EUR,586.24
2020-04-30,Empresa B,EUR,516.58
2020-05-01,Empresa B,EUR,670.67
2020-05-02,Empresa B,EUR,597.21
2020-05-03,Empresa B,EUR,651.04
2020-05-04,Empresa B,EUR,609.71
2020-05-05,Empresa B,EUR,634
2020-05-06,Empresa B,EUR,609.05
2020-05-07,Empresa B,EUR,711.67
2020-05-08,Empresa B,EUR,569.17
2020-05-09,Empresa B,EUR,670.35
2020-05-10,Empresa B,EUR,640.94
2020-05-11,Empresa B,EUR,663.76
2020-05-12,Empresa B,EUR,743.95
2020-05-13,Empresa B,EUR,510.19
2020-05-14,Empresa B,EUR,627.49
2020-05-15,Empresa B,EUR,731.77
2020-05-16,Empresa B,EUR,615.07
2020-05-17,Empresa B,EUR,578.44
2020-05-18,Empresa B,EUR,670.15
2020-05-19,Empresa B,EUR,398.48
2020-05-20,Empresa B,EUR,739.78
2020-05-21,Empresa B,EUR,721.09
2020-05-22,Empresa B,EUR,712.88
2020-05-23,Empresa B,EUR,763.48
2020-05-24,Empresa B,EUR,679.96
2020-05-25,Empresa B,EUR,675.47
2020-05-26,Empresa B,EUR,692.39
2020-05-27,Empresa B,EUR,746.76
2020-05-28,Empresa B,EUR,663.52
2020-05-29,Empresa B,EUR,743.52
2020-05-30,Empresa B,EUR,645.88
2020-05-31,Empresa B,EUR,758.85
2020-06-01,Empresa B,EUR,820.17
2020-06-02,Empresa B,EUR,548.16
2020-06-03,Empresa B,EUR,531.97
2020-06-04,Empresa B,EUR,599.78
2020-06-05,Empresa B,EUR,869.43
2020-06-06,Empresa B,EUR,720.73
2020-06-07,Empresa B,EUR,594.98
2020-06-08,Empresa B,EUR,981.08
2020-06-09,Empresa B,EUR,775.01
2020-06-10,Empresa B,EUR,884.32
2020-06-11,Empresa B,EUR,877.67
2020-06-12,Empresa B,EUR,690.38
2020-06-13,Empresa B,EUR,820.07
2020-06-14,Empresa B,EUR,841.66
2020-06-15,Empresa B,EUR,776.36
2020-06-16,Empresa B,EUR,823.54
2020-06-17,Empresa B,EUR,845.91
2020-06-18,Empresa B,EUR,529.96
2020-06-19,Empresa B,EUR,604.95
2020-06-20,Empresa B,EUR,817.9
2020-06-21,Empresa B,EUR,848.33
2020-06-22,Empresa B,EUR,862.63
2020-06-23,Empresa B,EUR,720.55
2020-06-24,Empresa B,EUR,806.04
2020-06-25,Empresa B,EUR,702.38
2020-06-26,Empresa B,EUR,846.14
2020-06-27,Empresa B,EUR,972.2
2020-06-28,Empresa B,EUR,727.99
2020-06-29,Empresa B,EUR,499.12
2020-06-30,Empresa B,EUR,825.64
2020-07-01,Empresa B,EUR,632.64
2020-07-02,Empresa B,EUR,1068.23
2020-07-03,Empresa B,EUR,741.78
2020-07-04,Empresa B,EUR,675.79
2020-07-05,Empresa B,EUR,576.05
2020-07-06,Empresa B,EUR,713.45
2020-07-07,Empresa B,EUR,628.56
2020-07-08,Empresa B,EUR,805.1
2020-07-09,Empresa B,EUR,637.77
2020-07-10,Empresa B,EUR,733.41
2020-07-11,Empresa B,EUR,744.43
2020-07-12,Empresa B,EUR,718.74
2020-07-13,Empresa B,EUR,403.15
2020-07-14,Empresa B,EUR,932.4
2020-07-15,Empresa B,EUR,748.71
2020-07-16,Empresa B,EUR,607.69
2020-07-17,Empresa B,EUR,757.21
2020-07-18,Empresa B,EUR,686.03
2020-07-19,Empresa B,EUR,778.93
2020-07-20,Empresa B,EUR,624.76
2020-07-21,Empresa B,EUR,749.48
2020-07-22,Empresa B,EUR,757.2
2020-07-23,Empresa B,EUR,825.15
2020-07-24,Empresa B,EUR,767.96
2020-07-25,Empresa B,EUR,784.31
2020-07-26,Empresa B,EUR,732.91
2020-07-27,Empresa B,EUR,721.7
2020-07-28,Empresa B,EUR,612.79
2020-07-29,Empresa B,EUR,572.2
2020-07-30,Empresa B,EUR,544.67
2020-07-31,Empresa B,EUR,688.16
2020-08-01,Empresa B,EUR,709.82
2020-08-02,Empresa B,EUR,799.27
2020-08-03,Empresa B,EUR,747.25
2020-08-04,Empresa B,EUR,824.07
2020-08-05,Empresa B,EUR,632.97
2020-08-06,Empresa B,EUR,674.83
2020-08-07,Empresa B,EUR,626.42
2020-08-08,Empresa B,EUR,631.93
2020-08-09,Empresa B,EUR,669.99
2020-08-10,Empresa B,EUR,704.28
2020-08-11,Empresa B,EUR,721.44
2020-08-12,Empresa B,EUR,805.86
2020-08-13,Empresa B,EUR,766.13
2020-08-14,Empresa B,EUR,539.73
2020-08-15,Empresa B,EUR,638.71
2020-08-16,Empresa B,EUR,744.52
2020-08-17,Empresa B,EUR,631.95
2020-08-18,Empresa B,EUR,708.79
2020-08-19,Empresa B,EUR,756.61
2020-08-20,Empresa B,EUR,496.7
2020-08-21,Empresa B,EUR,723.85
2020-08-22,Empresa B,EUR,794.1
2020-08-23,Empresa B,EUR,713.02
2020-08-24,Empresa B,EUR,664.15
2020-08-25,Empresa B,EUR,627.64
2020-08-26,Empresa B,EUR,512.2
2020-08-27,Empresa B,EUR,552.25
2020-08-28,Empresa B,EUR,666.56
2020-08-29,Empresa B,EUR,674.18
2020-08-30,Empresa B,EUR,672.41
2020-08-31,Empresa B,EUR,708.88
2020-09-01,Empresa B,EUR,692.31
2020-09-02,Empresa B,EUR,635.3
2020-09-03,Empresa B,EUR,668.25
2020-09-04,Empresa B,EUR,642.85
2020-09-05,Empresa B,EUR,656.76
2020-09-06,Empresa B,EUR,821.55
2020-09-07,Empresa B,EUR,570.18
2020-09-08,Empresa B,EUR,833.34
2020-09-09,Empresa B,EUR,848.65
2020-09-10,Empresa B,EUR,609.49
2020-09-11,Empresa B,EUR,903.3
2020-09-12,Empresa B,EUR,599.17
2020-09-13,Empresa B,EUR,725.6
2020-09-14,Empresa B,EUR,589.92
2020-09-15,Empresa B,EUR,907.19
2020-09-16,Empresa B,EUR,677.44
2020-09-17,Empresa B,EUR,834.01
2020-09-18,Empresa B,EUR,684.48
2020-09-19,Empresa B,EUR,689.27
2020-09-20,Empresa B,EUR,776.07
2020-09-21,Empresa B,EUR,784.18
2020-09-22,Empresa B,EUR,758.06
2020-09-23,Empresa B,EUR,652.83
2020-09-24,Empresa B,EUR,607.63
2020-09-25,Empresa B,EUR,812.5
2020-09-26,Empresa B,EUR,980.74
2020-09-27,Empresa B,EUR,720.17
2020-09-28,Empresa B,EUR,633.06
2020-09-29,Empresa B,EUR,606.12
2020-09-30,Empresa B,EUR,837.86
2020-10-01,Empresa B,EUR,718.6
2020-10-02,Empresa B,EUR,631.78
2020-10-03,Empresa B,EUR,715.01
2020-10-04,Empresa B,EUR,597.89
2020-10-05,Empresa B,EUR,626.53
2020-10-06,Empresa B,EUR,782.25
2020-10-07,Empresa B,EUR,875.95
2020-10-08,Empresa B,EUR,487.39
2020-10-09,Empresa B,EUR,765.45
2020-10-10,Empresa B,EUR,660.94
2020-10-11,Empresa B,EUR,917.39
2020-10-12,Empresa B,EUR,547.61
2020-10-13,Empresa B,EUR,691.33
2020-10-14,Empresa B,EUR,707.37
2020-10-15,Empresa B,EUR,589.79
2020-10-16,Empresa B,EUR,630.4
2020-10-17,Empresa B,EUR,750.82
2020-10-18,Empresa B,EUR,721.89
2020-10-19,Empresa B,EUR,751.74
2020-10-20,Empresa B,EUR,761.41
2020-10-21,Empresa B,EUR,523
2020-10-22,Empresa B,EUR,659.1
2020-10-23,Empresa B,EUR,733.22
2020-10-24,Empresa B,EUR,933.77
2020-10-25,Empresa B,EUR,949.17
2020-10-26,Empresa B,EUR,550.15
2020-10-27,Empresa B,EUR,731.2
2020-10-28,Empresa B,EUR,921.83
2020-10-29,Empresa B,EUR,611.5
2020-10-30,Empresa B,EUR,785.64
2020-10-31,Empresa B,EUR,845.14
2020-11-01,Empresa B,EUR,738.47
2020-11-02,Empresa B,EUR,614.7
2020-11-03,Empresa B,EUR,605.96
2020-11-04,Empresa B,EUR,644.8
2020-11-05,Empresa B,EUR,879.65
2020-11-06,Empresa B,EUR,737.54
2020-11-07,Empresa B,EUR,688.12
2020-11-08,Empresa B,EUR,709.97
2020-11-09,Empresa B,EUR,712.46
2020-11-10,Empresa B,EUR,846.02
2020-11-11,Empresa B,EUR,816.81
